Brand/Company Name,Audience Segment,Audience List Type,Impressions,Clicks,Total Conversions,Gross Cost,Net Cost
Choose your advertiser name,1PD_LastNightInSoho_AnyaTaylorJoy_MusicVideo,First Party,274,0,0,0.371109,0.119125989
Choose your advertiser name,1PD_MoonriseKingdom_AllVideos,First Party,84,0,0,0.093228,0.029926188
Choose your advertiser name,1PD_PoliteSociety_AllVideos,First Party,8563,6,0,16.366019,5.253492099
Choose your advertiser name,1PD_PoliteSociety_Trailer,First Party,2371,0,0,4.382861,1.406898381
Choose your advertiser name,1PD_ShaunOfTheDead_AllVideos,First Party,51,0,0,0.065571,0.021048291
Choose your advertiser name,1PD_SpoilerAlert_AllVideos,First Party,42,0,0,0.057288,0.018389448
Choose your advertiser name,1PD_TheBigLebowski_AllVideos,First Party,540,0,0,0.902769,0.289788849
Choose your advertiser name,1PD_TheHighNote_DakotaJohnson_MusicVideo,First Party,1572,0,0,2.797436,0.897976956
Choose your advertiser name,1PD_TheHighNote_TraceeEllisRoss_MusicVideo,First Party,81,0,0,0.146245,0.046944645
Choose your advertiser name,1PF_AsteroidCity_AllVideos,First Party,17236,10,0,30.809504,9.889850784
Choose your advertiser name,1PF_OfAnAge_AllVideos,First Party,66,0,0,0.11815,0.03792615
Choose your advertiser name,1PF_TAR_AllVideos,First Party,193,0,0,0.30378,0.09751338
Choose your advertiser name,2017 – Darkest Hour – All Videos,First Party,39,0,0,0.091458,0.029358018
Choose your advertiser name,2017 – Darkest Hour – Trailer with Teaser,First Party,136697,79,0,241.376606,77.48189053
Choose your advertiser name,2017 – Darkest Hour – Trailer Without Teaser,First Party,8,0,0,0.012288,0.003944448
Choose your advertiser name,21_02_Site_Visit_1,First Party,1658,28,0,4.938226,1.585170546
Choose your advertiser name,21_05_Site_Visit_2,First Party,7740,2,0,13.483726,4.328276046
Choose your advertiser name,21_05_Site_Visit_3,First Party,727,0,0,2.070671,0.664685391
Choose your advertiser name,22 Jump Street (2014) - Trailers,First Party,1,0,0,0.000275,0.000088275
Choose your advertiser name,22_04_Site_Visit_1,First Party,803,11,0,1.7954,0.5763234
Choose your advertiser name,22_04_Site_Visit_2,First Party,675,18,0,2.683261,0.861326781
Choose your advertiser name,22_04_Site_Visit_3,First Party,464,5,0,2.051883,0.658654443
Choose your advertiser name,23_03_Site_Visit_1,First Party,4791,1,0,7.900036,2.535911556
Choose your advertiser name,23_03_Site_Visit_2,First Party,1794,0,0,4.913219,1.577143299
Choose your advertiser name,2P_ALL_NBC STB Nascar Indy 500 (16033079),First Party,13907,4,0,19.829051,6.365125371
Choose your advertiser name,300 - Rise of an Empire (2014) - Trailers,First Party,4,0,0,0.010748,0.003450108
Choose your advertiser name,30-Day Purchasers,First Party,855,0,0,2.848948,0.914512308
Choose your advertiser name,3P_NonSub_Epsilon TSP Cord Cutters (19690471),First Party,377939,91,0,639.148866,205.166786
Choose your advertiser name,3P_NonSub_Epsilon TSP Discount Seekers (20145391),First Party,98110,24,0,158.292751,50.81197307
Choose your advertiser name,3P_NonSub_Epsilon TSP Expanded Movers (22845739),First Party,291402,81,0,496.207581,159.2826335
Choose your advertiser name,3P_NonSub_Epsilon TSP Heavy Gamers (19681112),First Party,13,0,0,0.014194,0.004556274
Choose your advertiser name,3P_NonSub_Epsilon TSP Movers (19690540),First Party,46446,14,0,79.245351,25.43775767
Choose your advertiser name,3P_NonSub_Epsilon TSP NASCAR Fans (19681226),First Party,117363,28,0,187.246226,60.10603855
Choose your advertiser name,3P_NonSub_Epsilon TSP Student Likely (19564818),First Party,52094,14,0,88.749759,28.48867264
Choose your advertiser name,47 Ronin (2013) - Trailers,First Party,68,0,0,0.09556,0.03067476
Choose your advertiser name,50 Shades - Universal,First Party,152,0,0,0.322333,0.103468893
Choose your advertiser name,"50 Shades Darker - Certain Videos ""Darker"" - Updated 2.6.17",First Party,131,0,0,0.214409,0.068825289
Choose your advertiser name,50 Shades RMKT - Viewed Any Video - Updated 2.6.17,First Party,128,0,0,0.24187,0.07764027
Choose your advertiser name,8263128_Shop_Checkout,First Party,7311,5,111,245.504409,78.80691529
Choose your advertiser name,8304061_Shop_Configure,First Party,9680,6,124,334.996596,107.5339073
Choose your advertiser name,8304064_Shop_Confirmation,First Party,4648,2,68,149.595138,48.0200393
Choose your advertiser name,8513018 _Domain-DTAS-URL_Site_Visits_,First Party,4750,6,0,9.370631,3.007972551
Choose your advertiser name,8513018 _Domain-DTAS-URL_Site_Visits-internet c,First Party,7413,2,0,30.567731,9.812241651
Choose your advertiser name,8513018 _Domain-DTAS-URL_Site_Visits-resi,First Party,2937,2,0,18.192986,5.839948506
Choose your advertiser name,8513018 _Domain-DTAS-URL_Site_Visits-Solution Finder and Recommendation,First Party,1513,2,0,7.303994,2.344582074
Choose your advertiser name,A Dog's Journey Trailer Retargeting & Internal Comps,First Party,184,0,0,0.303504,0.097424784
Choose your advertiser name,A Haunted House (2013) - Trailers,First Party,80,0,0,0.095568,0.030677328
Choose your advertiser name,A Monster Calls - All Videos,First Party,148,0,0,0.318568,0.102260328
Choose your advertiser name,A Monster Calls - Official Trailer,First Party,119,0,0,0.196564,0.063097044
Choose your advertiser name,A Monster Calls - Official Trailer,First Party,13,0,0,0.01598,0.00512958
Choose your advertiser name,A Private War Trailer #1 (2018) | Movieclips Trailers,First Party,8,0,0,0.002453,0.000787413
Choose your advertiser name,A Quiet Place Final Trailer (2018) | Movieclips Trailers,First Party,4,0,0,0.007216,0.002316336
Choose your advertiser name,A Quiet Place Trailer #1 (2018) | Movieclips Trailers,First Party,3,0,0,0.012005,0.003853605
Choose your advertiser name,A Thousand and One - Remarketing,First Party,2312,1,0,4.349764,1.396274244
Choose your advertiser name,A Vigilante Trailer #1 (2019) | Movieclips Trailers,First Party,15,0,0,0.020483,0.006575043
Choose your advertiser name,A.X.L.Trailer #1 (2018) | Movieclips Trailers,First Party,8,0,0,0.013512,0.004337352
Choose your advertiser name,About Time (2013) - Trailers,First Party,44,0,0,0.118075,0.037902075
Choose your advertiser name,Action-Draft-Last Stand,First Party,62,0,0,0.10425,0.03346425
Choose your advertiser name,AD Buyflow- ECSCA,First Party,93951,18,0,169.538823,54.42196218
Choose your advertiser name,AD Buyflow- ECSCA 1 Day,First Party,14331,5,0,24.729345,7.938119745
Choose your advertiser name,AD Buyflow- ECSCA 1 Day Purchasers,First Party,142,0,0,0.505059,0.162123939
Choose your advertiser name,AD Buyflow- ECSCA 1-14 Days,First Party,63517,14,0,113.708272,36.50035531
Choose your advertiser name,AD Buyflow- NCSCA,First Party,105875,10,0,194.734322,62.50971736
Choose your advertiser name,AD Buyflow- NCSCA 1-14 Days,First Party,71993,16,0,134.348847,43.12597989
Choose your advertiser name,Adrift Trailer #1 (2018) | Movieclips Trailers,First Party,38,0,0,0.056673,0.018192033
Choose your advertiser name,Adrift Trailer #1 (2018) | Movieclips Trailers_041918_USE,First Party,44,0,0,0.063347,0.020334387
Choose your advertiser name,Affinity Categories » Banking & Finance,Custom Audience,94691,20,4,141.881219,45.5438713
Choose your advertiser name,Affinity Categories » Banking & Finance » Avid Investors,Custom Audience,39220149,10184,1110,65604.39257,21059.01002
Choose your advertiser name,Affinity Categories » Beauty & Wellness,Custom Audience,137749,33,4,196.827534,63.18163841
Choose your advertiser name,Affinity Categories » Beauty & Wellness » Beauty Mavens,Custom Audience,14549695,4103,356,24307.43032,7802.685134
Choose your advertiser name,Affinity Categories » Beauty & Wellness » Frequently Visits Salons,Custom Audience,3461538,1163,63,5589.845777,1794.340494
Choose your advertiser name,Affinity Categories » Food & Dining,Custom Audience,341308,92,19,486.977807,156.319876
Choose your advertiser name,Affinity Categories » Food & Dining » Coffee Shop Regulars,Custom Audience,113980,23,3,193.958016,62.26052314
Choose your advertiser name,Affinity Categories » Food & Dining » Cooking Enthusiasts,Custom Audience,1057858,229,34,1460.511095,468.8240615
Choose your advertiser name,Affinity Categories » Food & Dining » Cooking Enthusiasts » 30 Minute Chefs,Custom Audience,14071089,3703,458,25088.20603,8053.314137
Choose your advertiser name,Affinity Categories » Food & Dining » Cooking Enthusiasts » Aspiring Chefs,Custom Audience,51035278,12074,1252,80433.98417,25819.30892
Choose your advertiser name,Affinity Categories » Food & Dining » Fast Food Cravers,Custom Audience,14989039,5011,440,25928.5285,8323.057649
Choose your advertiser name,Affinity Categories » Food & Dining » Foodies,Custom Audience,21396820,5274,572,35472.44327,11386.65429
Choose your advertiser name,Affinity Categories » Food & Dining » Frequently Dines Out,Custom Audience,20723,3,0,24.015419,7.708949499
Choose your advertiser name,Affinity Categories » Food & Dining » Frequently Dines Out » Diners by Meal,Custom Audience,72393,23,0,105.598519,33.8971246
Choose your advertiser name,Affinity Categories » Food & Dining » Frequently Dines Out » Diners by Meal » Frequently Eats Breakfast Out,Custom Audience,97354,18,1,149.110351,47.86442267
Choose your advertiser name,Affinity Categories » Food & Dining » Frequently Dines Out » Diners by Meal » Frequently Eats Dinner Out,Custom Audience,7259814,1528,132,11008.71925,3533.79888
Choose your advertiser name,Affinity Categories » Food & Dining » Frequently Dines Out » Diners by Meal » Frequently Eats Lunch Out,Custom Audience,6074516,1404,117,9608.951036,3084.473283
Choose your advertiser name,Affinity Categories » Home & Garden,Custom Audience,226618,52,7,322.661953,103.5744869
Choose your advertiser name,Affinity Categories » Home & Garden » Do-It-Yourselfers,Custom Audience,25066422,9517,925,49512.41778,15893.48611
Choose your advertiser name,Affinity Categories » Home & Garden » Home Decor Enthusiasts,Custom Audience,61230544,18963,2065,110211.5537,35377.90874
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies,Custom Audience,287564,73,7,407.944477,130.9501771
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Art & Theater Aficionados,Custom Audience,10365438,3347,227,17040.93122,5470.13892
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Business Professionals,Custom Audience,31511531,8977,1028,57642.57102,18503.2653
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Family-Focused,Custom Audience,18688554,4677,389,29811.37533,9569.45148
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Fashionistas,Custom Audience,16914876,4274,478,28034.73461,8999.149808
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Frequently Attends Live Events,Custom Audience,3141179,651,75,4847.542198,1556.061046
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Green Living Enthusiasts,Custom Audience,15745134,4200,482,25444.26674,8167.609623
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Nightlife Enthusiasts,Custom Audience,7791248,1777,194,12318.66354,3954.290997
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Outdoor Enthusiasts,Custom Audience,23353797,5579,694,39576.28982,12703.98903
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Pet Lovers,Custom Audience,13552714,3699,379,21375.21131,6861.442831
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Pet Lovers » Cat Lovers,Custom Audience,3699536,1118,74,5550.399849,1781.678352
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Pet Lovers » Dog Lovers,Custom Audience,11029956,3196,186,16865.28728,5413.757218
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Shutterbugs,Custom Audience,44026094,12691,1431,73834.3619,23700.83017
Choose your advertiser name,Affinity Categories » Lifestyles & Hobbies » Thrill Seekers,Custom Audience,9102984,2232,271,13759.09502,4416.669502
Choose your advertiser name,Affinity Categories » Media & Entertainment,Custom Audience,306453,73,12,431.049149,138.3667768
Choose your advertiser name,Affinity Categories » Media & Entertainment » Book Lovers,Custom Audience,42344567,11542,1521,72058.69192,23130.84011
Choose your advertiser name,Affinity Categories » Media & Entertainment » Comics & Animation Fans,Custom Audience,18428875,3804,339,27337.12454,8775.216977
Choose your advertiser name,Affinity Categories » Media & Entertainment » Gamers,Custom Audience,7131230,2294,220,11944.87591,3834.305168
Choose your advertiser name,Affinity Categories » Media & Entertainment » Gamers » Action Game Fans,Custom Audience,11400284,1885,283,16360.07134,5251.582899
Choose your advertiser name,Affinity Categories » Media & Entertainment » Gamers » Adventure & Strategy Game Fans,Custom Audience,7193006,1183,162,10008.50802,3212.731074
Choose your advertiser name,Affinity Categories » Media & Entertainment » Gamers » Casual & Social Gamers,Custom Audience,24627702,6220,561,36082.81951,11582.58506
Choose your advertiser name,Affinity Categories » Media & Entertainment » Gamers » Driving & Racing Game Fans,Custom Audience,1565999,288,70,2033.706841,652.819896
Choose your advertiser name,Affinity Categories » Media & Entertainment » Gamers » Hardcore Gamers,Custom Audience,36074117,7222,922,54533.77455,17505.34163
Choose your advertiser name,Affinity Categories » Media & Entertainment » Gamers » Roleplaying Game Fans,Custom Audience,12738670,2023,252,17878.19127,5738.899398
Choose your advertiser name,Affinity Categories » Media & Entertainment » Gamers » Shooter Game Fans,Custom Audience,6170850,977,136,8971.127442,2879.731909
Choose your advertiser name,Affinity Categories » Media & Entertainment » Gamers » Sports Game Fans,Custom Audience,1164414,302,53,1710.418434,549.0443173
Choose your advertiser name,Affinity Categories » Media & Entertainment » Light TV Viewers,Custom Audience,41393992,12341,1089,68855.55374,22102.63275
Choose your advertiser name,Affinity Categories » Media & Entertainment » Movie Lovers,Custom Audience,29057472,9443,726,46740.13933,15003.58472
Choose your advertiser name,Affinity Categories » Media & Entertainment » Movie Lovers » Action & Adventure Movie Fans,Custom Audience,15079691,3272,262,22619.58746,7260.887576
Choose your advertiser name,Affinity Categories » Media & Entertainment » Movie Lovers » Comedy Movie Fans,Custom Audience,7201523,1180,147,9492.913521,3047.22524
Choose your advertiser name,Affinity Categories » Media & Entertainment » Movie Lovers » Family Movie Fans,Custom Audience,5609377,1125,109,8057.246709,2586.376194
Choose your advertiser name,Affinity Categories » Media & Entertainment » Movie Lovers » Fans of South Asian Film,Custom Audience,2649889,565,101,3702.046142,1188.356812
Choose your advertiser name,Affinity Categories » Media & Entertainment » Movie Lovers » Horror Movie Fans,Custom Audience,3227909,568,77,4551.950502,1461.176111
Choose your advertiser name,Affinity Categories » Media & Entertainment » Movie Lovers » Romance & Drama Movie Fans,Custom Audience,3773588,940,87,5517.974609,1771.269849
Choose your advertiser name,Affinity Categories » Media & Entertainment » Movie Lovers » Sci-Fi & Fantasy Movie Fans,Custom Audience,10494840,2067,207,15272.75942,4902.555774
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers,Custom Audience,12957961,4017,382,22037.77187,7074.12477
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Blues Fans,Custom Audience,551869,118,9,832.978644,267.3861447
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Classical Music Enthusiasts,Custom Audience,1471995,262,26,1988.398677,638.2759753
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Country Music Fans,Custom Audience,7211618,1861,109,10500.58613,3370.688146
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Electronic Dance Music Fans,Custom Audience,1135630,169,43,1635.644317,525.0418258
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Fans of Latin Music,Custom Audience,1305162,402,47,1927.339153,618.6758681
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Folk & Traditional Music Enthusiasts,Custom Audience,1357376,267,49,1892.687485,607.5526827
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Indie & Alternative Rock Fans,Custom Audience,2581189,484,60,3755.030097,1205.364661
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Jazz Enthusiasts,Custom Audience,1815512,281,64,2325.479196,746.4788219
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Metalheads,Custom Audience,2314334,433,66,3219.750376,1033.539871
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Pop Music Fans,Custom Audience,11937803,3036,219,18155.45982,5827.902602
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Rap & Hip Hop Fans,Custom Audience,8284119,2142,239,13218.64316,4243.184455
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » Rock Music Fans,Custom Audience,7560274,1809,140,10952.78307,3515.843366
Choose your advertiser name,Affinity Categories » Media & Entertainment » Music Lovers » World Music Fans,Custom Audience,3880330,866,89,5718.290899,1835.571379
Choose your advertiser name,Affinity Categories » Media & Entertainment » TV Lovers,Custom Audience,25453897,8029,724,42263.04093,13566.43614
Choose your advertiser name,Affinity Categories » Media & Entertainment » TV Lovers » Documentary & Nonfiction TV Fans,Custom Audience,1436230,262,56,1779.066055,571.0802037
Choose your advertiser name,Affinity Categories » Media & Entertainment » TV Lovers » Family Television Fans,Custom Audience,1770136,348,26,2347.756223,753.6297476
Choose your advertiser name,"Affinity Categories » Media & Entertainment » TV Lovers » Game, Reality & Talk Show Fans",Custom Audience,23328842,6094,436,31196.15469,10013.96566
Choose your advertiser name,Affinity Categories » Media & Entertainment » TV Lovers » Sci-Fi & Fantasy TV Fans,Custom Audience,4058732,791,65,6088.966192,1954.558148
Choose your advertiser name,Affinity Categories » Media & Entertainment » TV Lovers » TV Comedy Fans,Custom Audience,8158837,2066,132,12085.8086,3879.544562
Choose your advertiser name,Affinity Categories » Media & Entertainment » TV Lovers » TV Drama Fans,Custom Audience,14015455,3318,223,21268.99712,6827.348075
Choose your advertiser name,Affinity Categories » News & Politics,Custom Audience,1035534,307,13,1212.25211,389.1329273
Choose your advertiser name,Affinity Categories » News & Politics » Avid News Readers,Custom Audience,14666019,3898,355,22679.63949,7280.164276
Choose your advertiser name,Affinity Categories » News & Politics » Avid News Readers » Avid Business News Readers,Custom Audience,34043198,7792,941,56457.00948,18122.70004
Choose your advertiser name,Affinity Categories » News & Politics » Avid News Readers » Avid Local News Readers,Custom Audience,36115438,10292,976,50260.63029,16133.66232
Choose your advertiser name,Affinity Categories » News & Politics » Avid News Readers » Avid Political News Readers,Custom Audience,20610992,4604,496,30550.29197,9806.643721
Choose your advertiser name,Affinity Categories » News & Politics » Avid News Readers » Avid World News Readers,Custom Audience,3299203,624,89,5085.77459,1632.533643
Choose your advertiser name,Affinity Categories » News & Politics » Avid News Readers » Entertainment News Enthusiasts,Custom Audience,56322634,14122,1179,81802.65721,26258.65296
Choose your advertiser name,Affinity Categories » News & Politics » Avid News Readers » Men's Media Fans,Custom Audience,1147426,181,33,1430.527553,459.1993445
Choose your advertiser name,Affinity Categories » News & Politics » Avid News Readers » Women's Media Fans,Custom Audience,1347214,300,31,1746.793845,560.7208242
Choose your advertiser name,Affinity Categories » Shoppers,Custom Audience,379498,101,19,538.596068,172.8893378
Choose your advertiser name,Affinity Categories » Shoppers » Bargain Hunters,Custom Audience,28845217,7349,991,54022.4991,17341.22221
Choose your advertiser name,Affinity Categories » Shoppers » Luxury Shoppers,Custom Audience,25661270,6334,835,43020.07766,13809.44493
Choose your advertiser name,Affinity Categories » Shoppers » Shoppers by Store Type,Custom Audience,80133,17,4,154.236113,49.50979227
Choose your advertiser name,Affinity Categories » Shoppers » Shoppers by Store Type » Convenience Store Shoppers,Custom Audience,142480,43,10,233.514311,74.95809383
Choose your advertiser name,Affinity Categories » Shoppers » Shoppers by Store Type » Department Store Shoppers,Custom Audience,6037678,1523,168,10376.96642,3331.006221
Choose your advertiser name,Affinity Categories » Shoppers » Shoppers by Store Type » Superstore Shoppers,Custom Audience,211909,63,11,296.788544,95.26912262
Choose your advertiser name,Affinity Categories » Shoppers » Shopping Enthusiasts,Custom Audience,75115601,22516,2487,133215.4062,42762.14538
Choose your advertiser name,Affinity Categories » Shoppers » Value Shoppers,Custom Audience,17532547,5265,630,34767.6927,11160.42936
Choose your advertiser name,Affinity Categories » Sports & Fitness,Custom Audience,264647,70,7,376.986294,121.0126004
Choose your advertiser name,Affinity Categories » Sports & Fitness » Health & Fitness Buffs,Custom Audience,29255787,8050,624,47475.55236,15239.65231
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans,Custom Audience,7097359,1936,188,11024.08885,3538.732519
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Baseball Fans,Custom Audience,16276451,3305,392,23323.66389,7486.896108
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Basketball Fans,Custom Audience,20851020,4633,571,30739.57165,9867.402499
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Boating & Sailing Enthusiasts,Custom Audience,3997471,751,115,6295.119863,2020.733476
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Cricket Enthusiasts,Custom Audience,2181351,747,93,3230.526714,1036.999075
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Cycling Enthusiasts,Custom Audience,2042263,358,74,3433.913778,1102.286323
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Fans of American Football,Custom Audience,20389207,4383,489,29599.31208,9501.379176
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Fans of Australian Football,Custom Audience,1022345,102,30,1091.768997,350.457848
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Fight & Wrestling Fans,Custom Audience,3493031,852,87,5001.197071,1605.38426
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Golf Enthusiasts,Custom Audience,14655600,2598,394,21546.35373,6916.379549
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Hockey Fans,Custom Audience,5775391,725,131,7342.321333,2356.885148
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Motor Sports Enthusiasts,Custom Audience,4781805,1226,116,7076.500328,2271.556605
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Olympics Fans,Custom Audience,13237,4,0,17.615977,5.654728617
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Racquetball Enthusiasts,Custom Audience,4193715,843,63,6015.595886,1931.006279
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Rugby Enthusiasts,Custom Audience,1617868,195,35,1847.061686,592.9068012
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Running Enthusiasts,Custom Audience,2966136,617,95,4156.841456,1334.346107
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Skiing Enthusiasts,Custom Audience,1283428,204,39,1730.659586,555.5417271
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Soccer Fans,Custom Audience,16486335,3920,392,23562.37441,7563.522185
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Swimming Enthusiasts,Custom Audience,1453263,193,45,1781.706321,571.927729
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Tennis Enthusiasts,Custom Audience,6420389,1385,101,8930.566512,2866.71185
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Water Sports Enthusiasts,Custom Audience,2498956,458,93,3406.202803,1093.3911
Choose your advertiser name,Affinity Categories » Sports & Fitness » Sports Fans » Winter Sports Enthusiasts,Custom Audience,2626706,405,79,3357.715879,1077.826797
Choose your advertiser name,Affinity Categories » Technology,Custom Audience,459768,113,11,660.840469,212.1297905
Choose your advertiser name,Affinity Categories » Technology » Mobile Enthusiasts,Custom Audience,39338400,13141,1261,70964.7805,22779.69454
Choose your advertiser name,Affinity Categories » Technology » Social Media Enthusiasts,Custom Audience,38777771,11126,1124,63536.07413,20395.0798
Choose your advertiser name,Affinity Categories » Technology » Technophiles,Custom Audience,53843078,14309,1737,88348.00782,28359.71051
Choose your advertiser name,Affinity Categories » Technology » Technophiles » Audiophiles,Custom Audience,2265311,355,65,3954.945223,1269.537417
Choose your advertiser name,Affinity Categories » Technology » Technophiles » Cloud Services Power Users,Custom Audience,2987907,900,156,5761.066834,1849.302454
